waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
106,-105.930631758862,-382.012084473051,28.5378542221529,A2256W000748,60453,-105.93063175886225,-382.01208447305106,28.537854222152873,2.481819080425819e-13
107,-105.689390773407,-381.574131611769,28.5381339204944,A2256W000748,60454,-105.68939077340664,-381.5741316117689,28.53813392049441,3.730180182062295e-13
108,-105.448149787951,-381.136178750487,28.5384136188359,A2256W000748,60455,-105.44814978795104,-381.13617875048675,28.538413618835946,2.31335954426011e-13
109,-105.206908802495,-380.698225889205,28.5386933171775,A2256W000748,60456,-105.20690880249543,-380.6982258892046,28.538693317177483,5.936328356655571e-13
110,-104.96566781704,-380.260273027922,28.538973015519,A2256W000748,60457,-104.96566781703983,-380.26027302792244,28.53897301551902,4.856703836433968e-13
111,-104.724426831584,-379.82232016664,28.5392527138606,A2256W000748,60458,-104.72442683158422,-379.8223201666403,28.539252713860556,3.639754730461873e-13
112,-104.483185846129,-379.384367305358,28.5395324122021,A2256W000748,60459,-104.48318584612862,-379.3843673053581,28.539532412202092,4.001813022207649e-13
113,-104.241944860673,-378.946414444076,28.5398121105436,A2256W000748,60460,-104.24194486067302,-378.94641444407597,28.53981211054363,5.859285502108464e-14
114,-104.000703875217,-378.508461582794,28.5400918088852,A2256W000748,60461,-104.00070387521741,-378.5084615827938,28.540091808885165,4.4600354915687647e-13
115,-103.755915750219,-378.072482908497,28.5389215875704,A2256W000748,60462,-103.75591575021896,-378.07248290849674,28.538921587570385,2.873967505387993e-13
116,-103.511127625221,-377.6365042342,28.5377513662556,A2256W000748,60463,-103.51112762522051,-377.63650423419966,28.537751366255605,5.914174621092574e-13
117,-103.266339500222,-377.200525559903,28.5365811449408,A2256W000748,60464,-103.26633950022206,-377.2005255599026,28.536581144940826,4.0194366942304643e-13
118,-103.021551375224,-376.764546885606,28.535410923626,A2256W000748,60465,-103.02155137522361,-376.7645468856055,28.535410923626046,6.481146926371013e-13
119,-102.776763250225,-376.328568211308,28.5342407023113,A2256W000748,60466,-102.77676325022516,-376.32856821130844,28.534240702311266,4.808647507754992e-13
120,-102.531975125227,-375.892589537011,28.5330704809965,A2256W000748,60467,-102.53197512522671,-375.89258953701136,28.533070480996486,4.531903732385551e-13
