waypoint_idx,x,y,right_ok,left_ok,ego_lane,road_width,link_id
434,-90.584,-249.623,0,0,1,3.50,A2256W000215
435,-90.343,-249.185,0,0,1,3.50,A2256W000215
436,-90.101,-248.748,0,0,1,3.50,A2256W000215
437,-89.860,-248.310,0,0,1,3.50,A2256W000215
438,-89.618,-247.872,0,0,1,3.50,A2256W000215
439,-89.376,-247.434,0,0,1,3.50,A2256W000215
440,-89.135,-246.997,0,0,1,3.50,A2256W000215
441,-88.893,-246.559,0,0,1,3.50,A2256W000215
442,-88.651,-246.121,0,0,1,3.50,A2256W000215
443,-88.410,-245.684,0,0,1,3.50,A2256W000215
444,-88.168,-245.246,0,0,1,3.50,A2256W000215
445,-87.926,-244.808,0,0,1,3.50,A2256W000215
446,-87.685,-244.370,0,0,1,3.50,A2256W000215
447,-87.443,-243.933,0,0,1,3.50,A2256W000215
448,-87.201,-243.495,0,0,1,3.50,A2256W000215
449,-86.960,-243.057,0,0,1,3.50,A2256W000215
450,-86.718,-242.620,0,0,1,3.50,A2256W000215
451,-86.476,-242.182,0,0,1,3.50,A2256W000215
452,-86.235,-241.744,0,0,1,3.50,A2256W000215
453,-85.993,-241.306,0,0,1,3.50,A2256W000215
454,-85.751,-240.869,0,0,1,3.50,A2256W000215
455,-85.510,-240.431,0,0,1,3.50,A2256W000215
456,-85.268,-239.993,0,0,1,3.50,A2256W000215
457,-85.026,-239.556,0,0,1,3.50,A2256W000215
458,-84.785,-239.118,0,0,1,3.50,A2256W000215
459,-84.543,-238.680,0,0,1,3.50,A2256W000215
460,-84.301,-238.242,0,0,1,3.50,A2256W000215
461,-84.060,-237.805,0,0,1,3.50,A2256W000215
462,-83.818,-237.367,0,0,1,3.50,A2256W000215
463,-83.576,-236.929,0,0,1,3.50,A2256W000215
464,-83.335,-236.492,0,0,1,3.50,A2256W000215
465,-83.093,-236.054,0,0,1,3.50,A2256W000215
466,-82.851,-235.616,0,0,1,3.50,A2256W000215
467,-82.610,-235.178,0,0,1,3.50,A2256W000215
468,-82.368,-234.741,0,0,1,3.50,A2256W000215
469,-82.126,-234.303,0,0,1,3.50,A2256W000215
470,-81.885,-233.865,0,0,1,3.50,A2256W000215
471,-81.643,-233.428,0,0,1,3.50,A2256W000215
472,-81.402,-232.990,0,0,1,3.50,A2256W000215
473,-81.160,-232.552,0,0,1,3.50,A2256W000215
474,-80.918,-232.114,0,0,1,3.50,A2256W000215
